#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  1.00000000e-02   0.00000000e+00   2.23613883e+00  -8.06627028e-07   3.18189836e+00  -2.23858454e+02  -4.54184882e+00   2.80843710e-02
  1.01923249e-02   0.00000000e+00   2.23614158e+00  -8.37934131e-07   3.12181219e+00  -2.19634726e+02  -4.54184862e+00   2.80841228e-02
  1.03883486e-02   0.00000000e+00   2.23614444e+00  -8.70467048e-07   3.06286588e+00  -2.15490704e+02  -4.54184834e+00   2.80836729e-02
  1.05881424e-02   0.00000000e+00   2.23614741e+00  -9.04256668e-07   3.00502765e+00  -2.11424886e+02  -4.54184809e+00   2.80833035e-02
  1.07917787e-02   0.00000000e+00   2.23615050e+00  -9.39352430e-07   2.94827736e+00  -2.07435798e+02  -4.54184787e+00   2.80829956e-02
  1.09993315e-02   0.00000000e+00   2.23615370e+00  -9.75819860e-07   2.89260225e+00  -2.03521986e+02  -4.54184755e+00   2.80825210e-02
  1.12108760e-02   0.00000000e+00   2.23615703e+00  -1.01369704e-06   2.83797428e+00  -1.99682037e+02  -4.54184727e+00   2.80821068e-02
  1.14264890e-02   0.00000000e+00   2.23616049e+00  -1.05304368e-06   2.78437624e+00  -1.95914554e+02  -4.54184697e+00   2.80816766e-02
  1.16462488e-02   0.00000000e+00   2.23616408e+00  -1.09391677e-06   2.73178868e+00  -1.92218169e+02  -4.54184666e+00   2.80812296e-02
  1.18702352e-02   0.00000000e+00   2.23616781e+00  -1.13637543e-06   2.68019250e+00  -1.88591543e+02  -4.54184635e+00   2.80807653e-02
  1.20985293e-02   0.00000000e+00   2.23617169e+00  -1.18048112e-06   2.62956900e+00  -1.85033358e+02  -4.54184602e+00   2.80802829e-02
  1.23312141e-02   0.00000000e+00   2.23617572e+00  -1.22629763e-06   2.57989978e+00  -1.81542324e+02  -4.54184567e+00   2.80797819e-02
  1.25683741e-02   0.00000000e+00   2.23617990e+00  -1.27389127e-06   2.53116683e+00  -1.78117172e+02  -4.54184531e+00   2.80792616e-02
  1.28100952e-02   0.00000000e+00   2.23618425e+00  -1.32333087e-06   2.48335249e+00  -1.74756662e+02  -4.54184494e+00   2.80787207e-02
  1.30564652e-02   0.00000000e+00   2.23618876e+00  -1.37468792e-06   2.43643936e+00  -1.71459571e+02  -4.54184456e+00   2.80781590e-02
  1.33075735e-02   0.00000000e+00   2.23619345e+00  -1.42803671e-06   2.39041044e+00  -1.68224705e+02  -4.54184416e+00   2.80775755e-02
  1.35635112e-02   0.00000000e+00   2.23619832e+00  -1.48345436e-06   2.34524902e+00  -1.65050890e+02  -4.54184374e+00   2.80769694e-02
  1.38243713e-02   0.00000000e+00   2.23620339e+00  -1.54102098e-06   2.30093872e+00  -1.61936972e+02  -4.54184331e+00   2.80763397e-02
  1.40902483e-02   0.00000000e+00   2.23620864e+00  -1.60081979e-06   2.25746345e+00  -1.58881824e+02  -4.54184286e+00   2.80756856e-02
  1.43612388e-02   0.00000000e+00   2.23621411e+00  -1.66293718e-06   2.21480744e+00  -1.55884334e+02  -4.54184240e+00   2.80750061e-02
  1.46374412e-02   0.00000000e+00   2.23621978e+00  -1.72746293e-06   2.17295520e+00  -1.52943417e+02  -4.54184191e+00   2.80743003e-02
  1.49189556e-02   0.00000000e+00   2.23622568e+00  -1.79449023e-06   2.13189155e+00  -1.50058004e+02  -4.54184141e+00   2.80735670e-02
  1.52058842e-02   0.00000000e+00   2.23623180e+00  -1.86411590e-06   2.09160158e+00  -1.47227048e+02  -4.54184089e+00   2.80728054e-02
  1.54983312e-02   0.00000000e+00   2.23623816e+00  -1.93644048e-06   2.05207067e+00  -1.44449523e+02  -4.54184034e+00   2.80720141e-02
  1.57964026e-02   0.00000000e+00   2.23624477e+00  -2.01156839e-06   2.01328448e+00  -1.41724419e+02  -4.54183978e+00   2.80711921e-02
  1.61002068e-02   0.00000000e+00   2.23625164e+00  -2.08960806e-06   1.97522894e+00  -1.39050749e+02  -4.54183919e+00   2.80703383e-02
  1.64098538e-02   0.00000000e+00   2.23625877e+00  -2.17067211e-06   1.93789022e+00  -1.36427541e+02  -4.54183859e+00   2.80694513e-02
  1.67254561e-02   0.00000000e+00   2.23626618e+00  -2.25487751e-06   1.90125478e+00  -1.33853844e+02  -4.54183795e+00   2.80685299e-02
  1.70471282e-02   0.00000000e+00   2.23627387e+00  -2.34234570e-06   1.86530933e+00  -1.31328724e+02  -4.54183730e+00   2.80675727e-02
  1.73749869e-02   0.00000000e+00   2.23628187e+00  -2.43320281e-06   1.83004082e+00  -1.28851264e+02  -4.54183662e+00   2.80665784e-02
  1.77091511e-02   0.00000000e+00   2.23629018e+00  -2.52757985e-06   1.79543645e+00  -1.26420566e+02  -4.54183591e+00   2.80655456e-02
  1.80497422e-02   0.00000000e+00   2.23629880e+00  -2.62561281e-06   1.76148366e+00  -1.24035746e+02  -4.54183517e+00   2.80644727e-02
  1.83968836e-02   0.00000000e+00   2.23630777e+00  -2.72744297e-06   1.72817014e+00  -1.21695941e+02  -4.54183441e+00   2.80633581e-02
  1.87507014e-02   0.00000000e+00   2.23631708e+00  -2.83321699e-06   1.69548378e+00  -1.19400300e+02  -4.54183362e+00   2.80622003e-02
  1.91113241e-02   0.00000000e+00   2.23632675e+00  -2.94308719e-06   1.66341274e+00  -1.17147990e+02  -4.54183279e+00   2.80609976e-02
  1.94788824e-02   0.00000000e+00   2.23633680e+00  -3.05721173e-06   1.63194537e+00  -1.14938194e+02  -4.54183193e+00   2.80597483e-02
  1.98535097e-02   0.00000000e+00   2.23634724e+00  -3.17575484e-06   1.60107025e+00  -1.12770111e+02  -4.54183104e+00   2.80584505e-02
  2.02353421e-02   0.00000000e+00   2.23635808e+00  -3.29888707e-06   1.57077617e+00  -1.10642952e+02  -4.54183012e+00   2.80571024e-02
  2.06245181e-02   0.00000000e+00   2.23636935e+00  -3.42678547e-06   1.54105216e+00  -1.08555947e+02  -4.54182916e+00   2.80557019e-02
  2.10211789e-02   0.00000000e+00   2.23638105e+00  -3.55963390e-06   1.51188740e+00  -1.06508338e+02  -4.54182816e+00   2.80542472e-02
  2.14254684e-02   0.00000000e+00   2.23639321e+00  -3.69762327e-06   1.48327133e+00  -1.04499382e+02  -4.54182713e+00   2.80527361e-02
  2.18375335e-02   0.00000000e+00   2.23640584e+00  -3.84095177e-06   1.45519356e+00  -1.02528349e+02  -4.54182605e+00   2.80511664e-02
  2.22575236e-02   0.00000000e+00   2.23641896e+00  -3.98982521e-06   1.42764390e+00  -1.00594525e+02  -4.54182493e+00   2.80495358e-02
  2.26855911e-02   0.00000000e+00   2.23643259e+00  -4.14445724e-06   1.40061234e+00  -9.86972078e+01  -4.54182377e+00   2.80478420e-02
  2.31218914e-02   0.00000000e+00   2.23644674e+00  -4.30506968e-06   1.37408909e+00  -9.68357085e+01  -4.54182257e+00   2.80460825e-02
  2.35665829e-02   0.00000000e+00   2.23646145e+00  -4.47189283e-06   1.34806452e+00  -9.50093517e+01  -4.54182132e+00   2.80442548e-02
  2.40198269e-02   0.00000000e+00   2.23647673e+00  -4.64516578e-06   1.32252918e+00  -9.32174746e+01  -4.54182002e+00   2.80423563e-02
  2.44817880e-02   0.00000000e+00   2.23649260e+00  -4.82513673e-06   1.29747380e+00  -9.14594270e+01  -4.54181866e+00   2.80403842e-02
  2.49526337e-02   0.00000000e+00   2.23650909e+00  -5.01206335e-06   1.27288930e+00  -8.97345708e+01  -4.54181726e+00   2.80383357e-02
  2.54325349e-02   0.00000000e+00   2.23652622e+00  -5.20621311e-06   1.24876674e+00  -8.80422801e+01  -4.54181580e+00   2.80362077e-02
  2.59216658e-02   0.00000000e+00   2.23654401e+00  -5.40786366e-06   1.22509739e+00  -8.63819407e+01  -4.54181429e+00   2.80339974e-02
  2.64202039e-02   0.00000000e+00   2.23656249e+00  -5.61730323e-06   1.20187264e+00  -8.47529501e+01  -4.54181272e+00   2.80317013e-02
  2.69283301e-02   0.00000000e+00   2.23658170e+00  -5.83483097e-06   1.17908408e+00  -8.31547170e+01  -4.54181108e+00   2.80293163e-02
  2.74462289e-02   0.00000000e+00   2.23660164e+00  -6.06075740e-06   1.15672343e+00  -8.15866616e+01  -4.54180939e+00   2.80268389e-02
  2.79740882e-02   0.00000000e+00   2.23662236e+00  -6.29540481e-06   1.13478257e+00  -8.00482146e+01  -4.54180762e+00   2.80242656e-02
  2.85120995e-02   0.00000000e+00   2.23664389e+00  -6.53910771e-06   1.11325355e+00  -7.85388179e+01  -4.54180579e+00   2.80215926e-02
  2.90604581e-02   0.00000000e+00   2.23666625e+00  -6.79221327e-06   1.09212855e+00  -7.70579235e+01  -4.54180389e+00   2.80188160e-02
  2.96193630e-02   0.00000000e+00   2.23668948e+00  -7.05508177e-06   1.07139991e+00  -7.56049942e+01  -4.54180192e+00   2.80159319e-02
  3.01890170e-02   0.00000000e+00   2.23671361e+00  -7.32808713e-06   1.05106011e+00  -7.41795025e+01  -4.54179987e+00   2.80129362e-02
  3.07696269e-02   0.00000000e+00   2.23673868e+00  -7.61161735e-06   1.03110176e+00  -7.27809313e+01  -4.54179774e+00   2.80098245e-02
  3.13614033e-02   0.00000000e+00   2.23676472e+00  -7.90607507e-06   1.01151762e+00  -7.14087729e+01  -4.54179552e+00   2.80065923e-02
  3.19645611e-02   0.00000000e+00   2.23679177e+00  -8.21187806e-06   9.92300593e-01  -7.00625293e+01  -4.54179323e+00   2.80032350e-02
  3.25793192e-02   0.00000000e+00   2.23681987e+00  -8.52945984e-06   9.73443696e-01  -6.87417121e+01  -4.54179084e+00   2.79997478e-02
  3.32059005e-02   0.00000000e+00   2.23684907e+00  -8.85927016e-06   9.54940090e-01  -6.74458418e+01  -4.54178836e+00   2.79961256e-02
  3.38445326e-02   0.00000000e+00   2.23687939e+00  -9.20177567e-06   9.36783062e-01  -6.61744482e+01  -4.54178579e+00   2.79923633e-02
  3.44954471e-02   0.00000000e+00   2.23691089e+00  -9.55746046e-06   9.18966023e-01  -6.49270698e+01  -4.54178311e+00   2.79884555e-02
  3.51588804e-02   0.00000000e+00   2.23694362e+00  -9.92682674e-06   9.01482508e-01  -6.37032540e+01  -4.54178034e+00   2.79843964e-02
  3.58350731e-02   0.00000000e+00   2.23697762e+00  -1.03103955e-05   8.84326174e-01  -6.25025567e+01  -4.54177745e+00   2.79801805e-02
  3.65242707e-02   0.00000000e+00   2.23701293e+00  -1.07087070e-05   8.67490796e-01  -6.13245421e+01  -4.54177446e+00   2.79758014e-02
  3.72267233e-02   0.00000000e+00   2.23704962e+00  -1.11223218e-05   8.50970267e-01  -6.01687827e+01  -4.54177135e+00   2.79712531e-02
  3.79426858e-02   0.00000000e+00   2.23708773e+00  -1.15518212e-05   8.34758591e-01  -5.90348590e+01  -4.54176812e+00   2.79665290e-02
  3.86724180e-02   0.00000000e+00   2.23712732e+00  -1.19978079e-05   8.18849888e-01  -5.79223596e+01  -4.54176476e+00   2.79616223e-02
  3.94161848e-02   0.00000000e+00   2.23716844e+00  -1.24609072e-05   8.03238387e-01  -5.68308807e+01  -4.54176128e+00   2.79565260e-02
  4.01742561e-02   0.00000000e+00   2.23721116e+00  -1.29417673e-05   7.87918422e-01  -5.57600262e+01  -4.54175766e+00   2.79512329e-02
  4.09469070e-02   0.00000000e+00   2.23725554e+00  -1.34410603e-05   7.72884438e-01  -5.47094074e+01  -4.54175390e+00   2.79457352e-02
  4.17344179e-02   0.00000000e+00   2.23730164e+00  -1.39594830e-05   7.58130979e-01  -5.36786431e+01  -4.54175000e+00   2.79400253e-02
  4.25370745e-02   0.00000000e+00   2.23734953e+00  -1.44977579e-05   7.43652694e-01  -5.26673593e+01  -4.54174595e+00   2.79340950e-02
